Marke;Kostenstelle;erpId;orderId;Bestellnummer;Bestelldatum;Versuche;Erster Fehler (UTC);Letzter Fehler (UTC);Angefragter Pfad
Enchilada;Bar Enchilada Augsburg;10262;217739;116;2023-09-12;4;2026-08-03T22:42:50.501Z;2026-08-03T23:29:32.605Z;/api/10262/shop-order/217739/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;219525;119;2023-09-19;4;2026-08-03T22:42:23.415Z;2026-08-03T23:12:30.176Z;/api/10262/shop-order/219525/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;219526;120;2023-09-19;4;2026-08-03T22:42:25.119Z;2026-08-03T23:17:47.374Z;/api/10262/shop-order/219526/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;221430;123;2023-09-27;4;2026-08-03T22:41:42.893Z;2026-08-03T23:09:56.051Z;/api/10262/shop-order/221430/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;223059;124;2023-10-03;4;2026-08-03T22:41:10.665Z;2026-08-03T23:06:17.839Z;/api/10262/shop-order/223059/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;224868;126;2023-10-11;4;2026-08-03T22:40:34.691Z;2026-08-03T23:21:04.024Z;/api/10262/shop-order/224868/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;226610;128;2023-10-17;4;2026-08-03T22:39:55.740Z;2026-08-03T23:26:02.928Z;/api/10262/shop-order/226610/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;226800;129;2023-10-18;4;2026-08-03T22:39:41.650Z;2026-08-03T23:06:54.612Z;/api/10262/shop-order/226800/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;228443;130;2023-10-24;4;2026-08-03T22:39:12.628Z;2026-08-03T23:16:01.888Z;/api/10262/shop-order/228443/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;228754;131;2023-10-25;4;2026-08-03T22:39:02.325Z;2026-08-03T23:21:01.802Z;/api/10262/shop-order/228754/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;229778;133;2023-10-30;4;2026-08-03T22:38:18.939Z;2026-08-03T23:17:45.943Z;/api/10262/shop-order/229778/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;229798;136;2023-10-30;4;2026-08-03T22:38:08.393Z;2026-08-03T23:09:17.739Z;/api/10262/shop-order/229798/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;232089;138;2023-11-08;4;2026-08-03T22:37:30.682Z;2026-08-03T23:15:59.498Z;/api/10262/shop-order/232089/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;233488;139;2023-11-14;4;2026-08-03T22:36:56.103Z;2026-08-03T23:14:14.581Z;/api/10262/shop-order/233488/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;235326;142;2023-11-21;4;2026-08-03T22:36:17.805Z;2026-08-03T23:24:26.395Z;/api/10262/shop-order/235326/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;235587;143;2023-11-22;4;2026-08-03T22:36:10.603Z;2026-08-03T23:08:19.329Z;/api/10262/shop-order/235587/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;237132;144;2023-11-28;4;2026-08-03T22:35:30.439Z;2026-08-03T23:07:38.265Z;/api/10262/shop-order/237132/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;237229;145;2023-11-29;4;2026-08-03T22:35:18.071Z;2026-08-03T23:15:57.694Z;/api/10262/shop-order/237229/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;239004;146;2023-12-05;4;2026-08-03T22:34:52.084Z;2026-08-03T23:13:03.248Z;/api/10262/shop-order/239004/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;239338;149;2023-12-06;4;2026-08-03T22:34:35.570Z;2026-08-03T23:17:44.095Z;/api/10262/shop-order/239338/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;241178;151;2023-12-13;4;2026-08-03T22:34:04.681Z;2026-08-03T23:08:12.991Z;/api/10262/shop-order/241178/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;242417;152;2023-12-18;4;2026-08-03T22:33:34.124Z;2026-08-03T23:01:43.830Z;/api/10262/shop-order/242417/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;245148;156;2024-01-02;4;2026-08-03T22:32:34.128Z;2026-08-03T23:11:42.150Z;/api/10262/shop-order/245148/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;245417;157;2024-01-03;4;2026-08-03T22:32:29.510Z;2026-08-03T23:08:39.994Z;/api/10262/shop-order/245417/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;246804;158;2024-01-09;4;2026-08-03T22:32:03.251Z;2026-08-03T23:08:15.406Z;/api/10262/shop-order/246804/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;247057;159;2024-01-10;4;2026-08-03T22:31:48.317Z;2026-08-03T23:05:56.910Z;/api/10262/shop-order/247057/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;253881;168;2024-02-06;4;2026-08-03T22:29:12.918Z;2026-08-03T23:14:20.850Z;/api/10262/shop-order/253881/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;254244;169;2024-02-08;4;2026-08-03T22:28:59.643Z;2026-08-03T23:11:08.038Z;/api/10262/shop-order/254244/change?order_by=name
